Date,Close/Last,Volume,Open,High,Low
11/17/2023,223.11,3124318,222.866,223.44,222.42
11/16/2023,222.55,2754455,222.30,222.88,221.6034
11/15/2023,222.70,2819245,222.86,223.80,222.29
11/14/2023,222.15,4055052,220.51,222.78,220.51
11/13/2023,217.33,2829434,216.81,217.8595,216.34
11/10/2023,217.46,3303916,215.10,217.61,214.45
11/09/2023,214.27,2771197,216.63,216.78,214.06
11/08/2023,216.11,2813801,216.34,216.72,215.00
11/07/2023,216.14,3194330,215.38,216.50,214.90
11/06/2023,215.50,2915024,215.83,216.066,214.47
11/03/2023,215.41,4217119,214.32,216.20,214.27
11/02/2023,213.01,4111550,210.85,213.11,210.85
11/01/2023,208.86,5789255,207.14,209.22,206.87
10/31/2023,206.79,3325262,205.63,206.995,204.82
10/30/2023,205.46,3562658,204.53,205.98,203.76
10/27/2023,203.12,4290651,205.00,205.11,202.44
10/26/2023,204.22,4133356,205.92,206.3599,203.63
10/25/2023,206.36,3454535,208.45,208.535,206.0898
10/24/2023,209.47,3180907,209.07,210.21,208.12
10/23/2023,207.90,5472980,207.67,209.97,206.66
10/20/2023,208.47,4447576,210.86,211.05,208.38
10/19/2023,211.08,4322728,213.40,214.35,210.69
10/18/2023,213.09,3254961,215.11,215.63,212.59
10/17/2023,216.29,3627690,214.37,217.38,214.17
10/16/2023,216.01,3361558,214.73,216.46,214.56
10/13/2023,213.53,3269321,215.53,216.01,212.75
10/12/2023,214.74,3244177,216.63,216.715,213.53
10/11/2023,216.48,3033014,216.20,216.63,214.88
10/10/2023,215.63,3494612,214.60,216.95,214.57
10/09/2023,214.30,2869741,211.91,214.65,211.755
10/06/2023,212.96,3666530,209.06,213.775,208.57
10/05/2023,210.45,2679653,210.38,210.86,208.78
10/04/2023,210.56,3045402,209.23,210.89,208.40
10/03/2023,209.05,4389145,211.00,211.69,208.3299
10/02/2023,212.13,4358137,212.20,212.85,210.74
09/29/2023,212.41,4441367,214.55,214.67,211.79
09/28/2023,213.03,2952364,211.42,213.87,211.14
09/27/2023,211.63,4407264,212.12,212.46,209.8401
09/26/2023,211.41,4371935,213.06,213.43,211.01
09/25/2023,214.50,3440029,213.15,214.50,212.75
09/22/2023,213.64,3262885,214.68,215.30,213.40
09/21/2023,214.09,4194994,216.36,216.42,213.98
09/20/2023,218.54,2448369,221.13,221.49,218.445
09/19/2023,220.49,2978021,220.61,220.87,219.17
09/18/2023,221.05,2259567,220.91,221.685,220.55
09/15/2023,221.03,2639169,222.89,222.92,220.76
09/14/2023,223.66,2002386,222.85,223.98,222.34
09/13/2023,221.76,1989996,221.79,222.30,221.0992
09/12/2023,221.73,2448512,222.14,222.97,221.4499
09/11/2023,222.81,2087940,222.66,223.04,221.95
09/08/2023,221.42,2244708,221.21,222.176,220.98
09/07/2023,221.18,2964686,220.38,221.50,220.08
09/06/2023,221.94,2473650,222.99,223.18,220.75
09/05/2023,223.34,2531516,224.26,224.64,223.28
09/01/2023,224.68,3047624,225.34,225.78,223.96
08/31/2023,223.94,3043967,224.50,225.1785,223.88
08/30/2023,224.18,2420846,223.25,224.50,223.046
08/29/2023,223.19,3160291,219.94,223.32,219.80
08/28/2023,219.99,2364716,219.57,220.32,219.10
08/25/2023,218.59,3631038,217.98,219.24,216.05
08/24/2023,217.11,3099433,220.70,221.14,217.08
08/23/2023,220.06,2560157,218.08,220.40,218.08
08/22/2023,217.68,2892264,219.22,219.22,217.38
08/21/2023,218.26,2755426,217.41,218.68,216.36
08/18/2023,217.01,2933259,215.23,217.56,215.03
08/17/2023,216.76,3135922,219.28,219.50,216.55
08/16/2023,218.55,2933529,220.13,220.96,218.55
08/15/2023,220.37,2997270,222.00,222.24,220.04
08/14/2023,222.90,2435097,221.32,222.92,221.05
08/11/2023,221.80,2220365,221.10,222.41,220.77
08/10/2023,222.01,3033313,223.24,224.878,221.34
08/09/2023,221.97,2203402,223.66,223.69,221.56
08/08/2023,223.57,2796353,223.20,223.768,221.70
08/07/2023,224.61,2376584,223.72,224.71,223.2194
08/04/2023,222.90,3024603,224.74,225.84,222.61
08/03/2023,223.85,2927252,223.48,224.7699,222.99
08/02/2023,224.50,4243193,225.99,226.14,224.07
08/01/2023,227.73,3062774,227.65,228.00,227.07
07/31/2023,228.35,2659508,228.12,228.56,227.56
07/28/2023,227.66,2260779,227.17,228.03,226.7701
07/27/2023,225.31,4730599,228.81,228.965,224.83
07/26/2023,227.06,1985589,226.43,227.77,226.05
07/25/2023,226.89,2084431,226.02,227.5999,226.02
07/24/2023,226.32,2291652,226.05,226.71,225.64
07/21/2023,225.52,2296817,226.42,226.536,225.46
07/20/2023,225.54,2651745,226.61,227.01,225.14
07/19/2023,227.18,3106669,227.08,227.76,226.68
07/18/2023,226.59,2949451,224.70,226.92,224.53
07/17/2023,224.80,2688802,223.95,225.36,223.76
07/14/2023,223.95,2914073,224.85,224.86,223.50
07/13/2023,224.28,4113258,223.46,224.64,223.13
07/12/2023,222.40,3030200,222.57,223.10,221.86
07/11/2023,220.71,2158194,219.38,220.93,219.01
07/10/2023,218.99,2080530,217.90,219.03,217.8004
07/07/2023,218.04,2771947,217.91,220.08,217.81
07/06/2023,218.31,3404304,218.54,218.54,216.8319
07/05/2023,220.27,3341767,220.08,220.6099,219.63
07/03/2023,220.94,2423617,220.28,220.94,220.05
06/30/2023,220.28,3444112,219.61,220.86,219.48
06/29/2023,218.02,2857869,216.90,218.10,216.66
06/28/2023,216.98,4362128,216.48,217.51,215.96
06/27/2023,216.80,2653041,214.75,217.11,214.55
06/26/2023,214.19,2846758,214.80,215.82,214.14
06/23/2023,214.94,3338434,215.13,215.89,214.58
06/22/2023,217.56,2669590,216.51,217.59,216.17
06/21/2023,216.98,2713394,217.82,218.0786,216.70
06/20/2023,218.18,3157722,218.38,218.67,217.07
06/16/2023,219.26,4763693,221.42,221.42,219.13
06/15/2023,220.09,2895122,216.99,220.71,216.91
06/14/2023,217.44,4131038,217.55,218.5293,215.70
06/13/2023,217.44,4295664,216.78,217.77,216.46
06/12/2023,215.85,2481229,214.50,215.86,214.05
06/09/2023,213.93,2086509,214.10,215.08,213.41
06/08/2023,213.70,1943444,212.63,213.97,212.085
06/07/2023,212.70,2272783,213.34,214.12,212.39
06/06/2023,213.12,2227748,212.00,213.37,211.6367
06/05/2023,212.15,2249377,212.74,213.364,207.465
06/02/2023,212.71,3018681,210.68,213.085,210.50
06/01/2023,209.25,2696735,207.30,209.80,206.65
05/31/2023,207.18,2325393,207.49,207.975,206.3031
05/30/2023,208.43,2772306,209.63,209.68,207.69
05/26/2023,208.36,2347048,206.00,208.72,205.9702
05/25/2023,205.65,2230416,205.87,206.325,204.53
05/24/2023,204.26,2083662,205.00,205.13,203.69
05/23/2023,205.85,2386678,207.30,207.99,205.64
05/22/2023,208.05,2229402,207.68,208.81,207.20
05/19/2023,207.69,2683854,208.64,208.84,207.07
05/18/2023,208.19,2370198,206.00,208.37,205.82
05/17/2023,206.14,2650070,204.46,206.45,203.65
05/16/2023,203.50,1884873,204.41,204.81,203.47
05/15/2023,205.09,3240021,204.17,205.38,203.71
05/12/2023,204.22,2252503,205.04,205.28,202.93
05/11/2023,204.70,2108256,204.47,204.70,203.49
05/10/2023,204.97,2677618,205.62,205.9395,203.05
05/09/2023,204.07,1802529,204.03,204.63,203.80
05/08/2023,204.91,2632608,204.93,205.10,204.12
05/05/2023,204.69,1942273,202.85,205.27,202.7864
05/04/2023,200.98,2577646,201.84,202.02,200.20
05/03/2023,202.49,2153981,203.85,205.49,202.35
05/02/2023,203.68,2700634,205.62,205.90,202.07
05/01/2023,206.20,2838492,206.00,207.18,205.99
04/28/2023,206.30,2309056,204.00,206.30,204.00
04/27/2023,204.52,2254594,201.86,204.69,201.83
04/26/2023,200.75,2762335,202.16,202.5094,200.41
04/25/2023,201.66,2606411,204.02,204.23,201.615
04/24/2023,205.08,3704562,204.90,205.44,204.10
04/21/2023,205.00,2341577,204.96,205.24,203.92
04/20/2023,204.82,2563130,204.46,205.77,204.07
04/19/2023,206.10,2531413,205.03,206.478,204.97
04/18/2023,206.00,2784451,206.68,206.83,205.30
04/17/2023,205.90,2780375,205.03,205.91,204.45
04/14/2023,205.08,4142040,205.33,206.50,203.81
04/13/2023,205.65,2197609,203.53,205.80,203.34
04/12/2023,203.01,2431429,205.00,205.26,202.71
04/11/2023,203.87,3389481,203.87,204.64,203.40
04/10/2023,203.66,2545287,202.00,203.68,201.65
04/06/2023,203.20,1989792,202.24,203.3376,201.45
