Date,Close/Last,Volume,Open,High,Low
07/23/2024,68.70,1544731,68.82,68.87,68.67
07/22/2024,69.15,1355899,68.99,69.17,68.84
07/19/2024,68.53,514939,68.74,68.80,68.46
07/18/2024,68.97,712149,69.81,69.815,68.84
07/17/2024,69.66,1525584,69.70,69.975,69.595
07/16/2024,70.23,1923937,69.75,70.25,69.67
07/15/2024,69.83,814505,70.16,70.215,69.765
07/12/2024,70.40,665391,70.25,70.62,70.225
07/11/2024,69.76,819328,69.95,70.145,69.73
07/10/2024,69.48,668365,69.11,69.515,69.07
07/09/2024,68.71,1330954,68.74,68.82,68.52
07/08/2024,68.82,585147,69.05,69.14,68.75
07/05/2024,69.00,677038,69.12,69.13,68.575
07/03/2024,68.63,1267016,68.19,68.685,68.19
07/02/2024,67.82,999148,67.35,67.825,67.35
07/01/2024,67.59,3070297,67.82,68.00,67.4843
06/28/2024,67.56,1473931,67.57,67.785,67.29
06/27/2024,67.45,689041,67.48,67.6357,67.335
06/26/2024,67.31,706696,67.21,67.46,67.175
06/25/2024,67.74,566460,67.56,67.785,67.5141
06/24/2024,67.72,1608566,67.645,68.015,67.64
06/21/2024,67.24,1089610,67.31,67.34,67.12
06/20/2024,67.68,1596832,67.72,67.77,67.44
06/18/2024,67.70,2325546,67.39,67.735,67.35
06/17/2024,67.34,2737158,66.96,67.38,66.76
06/14/2024,67.08,1092187,66.86,67.08,66.63
06/13/2024,67.43,437081,67.85,67.85,67.20
06/12/2024,68.15,1592305,68.47,68.60,68.08
06/11/2024,67.44,9530014,67.47,67.55,67.11
06/10/2024,69.06,746912,68.72,69.12,68.5763
06/07/2024,68.91,1187191,69.14,69.32,68.85
06/06/2024,69.64,1214721,69.45,69.665,69.42
06/05/2024,69.45,819464,69.18,69.455,68.92
06/04/2024,68.82,725890,68.81,68.8812,68.50
06/03/2024,69.26,789462,69.37,69.42,68.93
05/31/2024,68.92,2396232,68.83,68.96,68.37
05/30/2024,68.64,1158401,68.46,68.795,68.46
05/29/2024,68.24,2713051,68.48,68.48,68.185
05/28/2024,69.36,1352994,69.63,69.69,69.135
05/24/2024,69.38,812100,69.10,69.47,69.10
05/23/2024,68.87,900377,69.75,69.8388,68.7211
05/22/2024,69.28,619806,69.47,69.56,69.115
05/21/2024,69.82,845121,69.74,69.89,69.67
05/20/2024,70.04,1627845,70.00,70.18,69.97
05/17/2024,70.07,1262246,69.81,70.07,69.71
05/16/2024,69.76,1962692,69.85,69.95,69.745
05/15/2024,69.93,965420,69.66,69.95,69.42
05/14/2024,69.22,1385916,69.02,69.2553,68.99
05/13/2024,68.82,950797,68.85,68.9997,68.73
05/10/2024,68.68,600065,68.87,68.92,68.62
05/09/2024,68.60,733908,68.15,68.61,68.15
05/08/2024,68.17,677545,67.85,68.18,67.85
05/07/2024,68.21,1059340,68.33,68.39,68.125
05/06/2024,68.28,1238309,68.07,68.28,68.07
05/03/2024,67.90,2320675,67.98,68.02,67.51
05/02/2024,67.29,1391352,66.94,67.4101,66.61
05/01/2024,66.14,1810490,66.27,66.9397,66.02
04/30/2024,66.23,3355794,66.84,66.985,66.23
04/29/2024,67.19,851201,67.04,67.26,66.93
04/26/2024,66.76,875066,66.57,66.84,66.53
04/25/2024,66.21,1205021,65.56,66.29,65.429
04/24/2024,66.34,1249794,66.55,66.56,66.105
04/23/2024,66.45,1425838,65.93,66.52,65.90
04/22/2024,65.80,2533013,65.40,65.965,65.28
04/19/2024,65.10,887574,65.07,65.305,64.92
04/18/2024,65.17,1231247,65.27,65.565,65.035
04/17/2024,65.15,1279663,65.48,65.52,64.92
04/16/2024,65.13,2553267,65.23,65.42,64.93
04/15/2024,65.82,1530459,66.74,66.7899,65.70
04/12/2024,66.13,1219350,66.69,66.84,66.035
04/11/2024,67.33,1244010,67.37,67.41,66.715
04/10/2024,67.10,2197220,67.07,67.37,66.865
04/09/2024,68.05,2214173,68.22,68.305,67.7199
04/08/2024,67.89,2225567,67.91,68.005,67.78
04/05/2024,67.55,2372023,67.26,67.67,67.105
04/04/2024,67.30,1119215,68.26,68.29,67.25
04/03/2024,67.76,1762436,67.27,67.865,67.27
04/02/2024,67.42,1063339,67.39,67.51,67.285
04/01/2024,67.70,1385725,67.88,68.085,67.58
03/28/2024,67.86,729878,67.79,67.9947,67.79
03/27/2024,67.92,1045265,67.65,67.92,67.57
03/26/2024,67.54,1545468,67.74,67.77,67.52
03/25/2024,67.51,1429871,67.44,67.715,67.44
03/22/2024,67.57,562458,67.71,67.77,67.51
03/21/2024,67.86,2047961,68.01,68.095,67.84
03/20/2024,67.84,1261874,67.12,67.88,67.06
03/19/2024,67.10,1047034,66.94,67.28,66.8201
03/18/2024,67.13,1324455,67.35,67.36,67.0524
03/15/2024,67.08,2224152,67.18,67.265,66.915
03/14/2024,67.20,2642834,67.66,67.6976,66.935
03/13/2024,67.59,2278359,67.54,67.745,67.515
03/12/2024,67.68,1876009,67.37,67.68,67.075
03/11/2024,67.16,2039634,67.06,67.185,66.895
03/08/2024,67.34,1422719,67.77,67.845,67.26
03/07/2024,67.54,923473,67.25,67.60,67.17
03/06/2024,66.86,1285019,66.83,67.06,66.73
03/05/2024,66.03,1217348,66.23,66.44,65.8725
03/04/2024,66.29,1197244,66.32,66.395,66.21
03/01/2024,66.46,2273942,66.04,66.505,65.8499
02/29/2024,65.71,2529023,65.89,65.98,65.48
02/28/2024,65.54,1692595,65.54,65.6599,65.47
02/27/2024,66.04,815469,65.97,66.10,65.93
02/26/2024,65.91,1460384,65.98,66.05,65.81
02/23/2024,66.04,1704484,66.04,66.165,65.94
02/22/2024,66.02,937267,65.88,66.065,65.76
02/21/2024,65.37,1490272,65.20,65.37,65.09
02/20/2024,65.31,1285866,65.41,65.50,65.15
02/16/2024,65.13,1875387,65.03,65.36,64.925
02/15/2024,65.00,1149064,64.59,65.00,64.59
02/14/2024,64.38,3650854,64.06,64.38,64.01
02/13/2024,63.54,1342267,63.86,63.995,63.30
02/12/2024,64.70,1658963,64.47,64.91,64.47
02/09/2024,64.49,908486,64.27,64.51,64.07
02/08/2024,64.25,1749402,64.25,64.31,64.055
02/07/2024,64.42,886280,64.37,64.51,64.2798
02/06/2024,64.39,1964049,63.97,64.43,63.94
02/05/2024,63.71,1864126,63.67,63.88,63.41
02/02/2024,64.02,1737435,64.03,64.08,63.735
02/01/2024,64.45,1739445,64.08,64.47,63.925
01/31/2024,63.82,4609165,64.33,64.55,63.73
01/30/2024,64.17,3203311,64.13,64.21,63.89
01/29/2024,64.38,1524753,64.11,64.435,63.935
01/26/2024,64.08,1018885,64.05,64.20,64.00
01/25/2024,63.88,3088747,63.91,63.91,63.575
01/24/2024,63.71,3373969,64.10,64.12,63.68
01/23/2024,63.22,2080454,63.07,63.255,62.9416
01/22/2024,63.18,2278202,63.17,63.38,63.09
01/19/2024,63.23,1364350,62.82,63.23,62.61
01/18/2024,62.91,1120786,62.70,62.91,62.5397
01/17/2024,62.39,1262963,62.17,62.41,61.985
01/16/2024,63.10,1577929,63.41,63.48,63.01
01/12/2024,64.27,969596,64.49,64.6899,64.18
01/11/2024,64.03,1085445,64.21,64.26,63.51
01/10/2024,64.00,1057954,63.93,64.09,63.84
01/09/2024,63.79,2160911,63.79,63.91,63.6541
01/08/2024,64.41,1870165,63.77,64.41,63.77
01/05/2024,63.86,898791,63.75,64.365,63.68
01/04/2024,63.81,1261716,63.69,64.095,63.68
01/03/2024,63.75,1873138,63.57,63.91,63.445
01/02/2024,64.15,2275529,64.32,64.455,64.09
12/29/2023,64.93,2186787,64.92,65.125,64.7599
12/28/2023,64.90,1954743,65.00,65.20,64.8601
12/27/2023,64.86,1659947,64.64,64.91,64.5814
12/26/2023,64.54,992883,64.34,64.60,64.32
12/22/2023,64.16,1594557,64.12,64.295,63.96
12/21/2023,64.10,5671794,63.76,64.12,63.64
12/20/2023,63.01,1512070,63.72,63.855,62.91
12/19/2023,64.87,1220607,64.60,64.89,64.60
12/18/2023,64.26,1899259,64.35,64.39,64.09
12/15/2023,64.17,1411049,64.47,64.58,64.15
12/14/2023,64.75,1927251,64.47,64.905,64.4665
12/13/2023,64.06,1611560,63.08,64.06,62.782
12/12/2023,63.14,1476203,62.92,63.14,62.705
12/11/2023,63.07,1179763,62.78,63.115,62.77
12/08/2023,62.90,2008679,62.65,63.04,62.63
12/07/2023,62.88,1855415,62.76,62.99,62.515
12/06/2023,62.59,1880218,63.03,63.13,62.565
12/05/2023,62.50,2250775,62.46,62.685,62.355
12/04/2023,62.78,1393911,62.75,62.99,62.5944
12/01/2023,63.33,1613546,62.62,63.345,62.56
11/30/2023,62.75,1648723,62.72,62.835,62.45
11/29/2023,62.75,2013092,62.79,62.9488,62.6501
11/28/2023,62.72,835013,62.54,62.895,62.435
11/27/2023,62.53,990779,62.53,62.605,62.40
11/24/2023,62.76,504060,62.49,62.76,62.48
11/22/2023,62.38,1052357,62.38,62.45,62.10
11/21/2023,62.34,856630,62.59,62.625,62.2623
11/20/2023,62.64,1236358,62.31,62.705,62.2641
11/17/2023,62.26,969097,62.09,62.27,61.95
11/16/2023,61.64,987106,61.59,61.85,61.42
11/15/2023,61.91,2132063,61.95,62.19,61.825
11/14/2023,61.82,3055321,61.20,61.88,61.20
11/13/2023,60.23,1455448,59.88,60.36,59.82
11/10/2023,60.16,1168124,59.83,60.165,59.49
11/09/2023,59.84,1735333,60.31,60.505,59.785
11/08/2023,59.97,1754782,59.99,60.215,59.805
11/07/2023,60.13,2361146,60.00,60.22,59.85
11/06/2023,60.48,7176581,60.66,60.72,60.341
11/03/2023,60.52,1553225,60.28,60.6599,60.26
11/02/2023,59.67,1760346,59.42,59.69,59.28
11/01/2023,58.45,1746460,58.00,58.45,57.905
10/31/2023,57.89,1773723,57.78,57.94,57.565
10/30/2023,57.85,1967837,57.86,57.96,57.58
10/27/2023,57.18,2111656,57.71,57.77,57.04
10/26/2023,57.30,2111341,57.46,57.58,57.09
10/25/2023,57.68,1828449,57.91,58.12,57.6253
10/24/2023,58.21,1198002,58.00,58.31,57.94
10/23/2023,57.82,2359283,57.56,58.1591,57.31
10/20/2023,57.84,1972142,58.16,58.27,57.815
10/19/2023,58.44,2504607,58.71,58.99,58.34
10/18/2023,58.85,1198696,59.37,59.40,58.7734
10/17/2023,59.88,1079127,59.40,60.13,59.38
10/16/2023,59.90,1257041,59.51,59.939,59.45
10/13/2023,59.46,1484567,59.80,59.95,59.31
10/12/2023,59.88,1443379,60.55,60.58,59.675
10/11/2023,60.50,1024814,60.58,60.66,60.17
10/10/2023,60.23,1038082,59.97,60.3808,59.93
10/09/2023,59.40,1196753,58.95,59.48,58.90
10/06/2023,59.54,1651104,58.79,59.665,58.49
10/05/2023,58.88,2358736,58.68,58.92,58.48
10/04/2023,58.42,9427754,58.47,58.51,58.01
10/03/2023,58.46,2250895,58.67,58.85,58.285
10/02/2023,59.24,2409347,59.73,59.74,59.055
09/29/2023,59.99,1729146,60.69,60.70,59.88
09/28/2023,60.14,1655398,59.68,60.27,59.63
09/27/2023,59.72,1110527,60.07,60.09,59.38
09/26/2023,59.79,1574387,60.09,60.29,59.75
09/25/2023,60.64,1265473,60.37,60.6659,60.32
09/22/2023,60.85,945960,61.14,61.29,60.80
09/21/2023,60.63,1118276,61.00,61.10,60.61
09/20/2023,61.66,1302246,62.04,62.34,61.64
09/19/2023,61.82,2234017,61.97,62.0452,61.68
09/18/2023,61.95,1101854,61.93,61.995,61.705
09/15/2023,62.14,1450540,62.36,62.53,62.08
09/14/2023,62.32,915187,62.04,62.369,61.97
09/13/2023,61.60,923745,61.59,61.79,61.47
09/12/2023,61.73,928590,61.56,61.9199,61.54
09/11/2023,61.98,1791333,61.84,61.98,61.68
09/08/2023,61.29,1661695,61.33,61.49,61.23
09/07/2023,61.33,1449671,61.38,61.47,61.15
09/06/2023,61.68,1011819,61.80,62.0196,61.495
09/05/2023,61.90,1924174,62.25,62.25,61.90
09/01/2023,62.39,1519849,62.81,62.86,62.265
